,Bias Voltage [V],Bias Voltage [V] error,SPE Amplitude [V],SPE Amplitude [V] error
0,35.0,0.10250000000000001,0.008421937923155385,2.5064781509153682e-05
1,32.0,0.095,0.005120079085794903,4.894521554187608e-05
2,34.5,0.10125,0.007919211432350144,1.4504732050037177e-05
3,36.0,0.105,0.009409011730553663,3.147878890212465e-05
4,33.0,0.0975,0.006308841748053117,3.012885063783828e-05
5,33.5,0.09875,0.006782217892216281,2.096398728606607e-05
6,35.5,0.10375,0.008893558461466292,1.983718389760956e-05
7,34.0,0.1,0.0073370559898852244,2.1581109783415373e-05
8,32.5,0.09625,0.005734580500466308,2.5123198027500698e-05
